date	edited_by	job	researched_by	source	state	statement	subjects	truth
2013-08-29	Angie Drobnic Holan	Republican	Jon Greenberg	Scott Walker	Wisconsin	"In the Wisconsin health insurance exchange, ""the Society of Actuaries points out that there'll be, according to them, an 82 percent increase in individual premiums over the next couple years under Obamacare."""	['Health Care']	3
2013-08-29	Angie Drobnic Holan	Republican	Louis Jacobson	Mike Huckabee	Arkansas	"""America’s gun-related homicide rate … would be about the same as Belgium’s if you left out California, Illinois, D.C. and New Jersey, places with some of the strictest gun control laws in the U.S."""	['Crime', 'Guns', 'Pundits']	0
2013-08-29	Greg Borowski		Tom Kertscher	League of Conservation Voters		"Says U.S. Sen. Ron Johnson voted to let oil and gas companies emit ""unlimited carbon pollution into our air"""	['Climate Change', 'Energy', 'Environment', 'Transportation']	5
2013-08-28	Aaron Sharockman		Rochelle Koff	National Republican Congressional Committee		"""Congressman Patrick Murphy voted to keep the scandal-ridden IRS in charge of enforcing Obamacare."""	['Health Care']	2
2013-08-28	Aaron Sharockman		Angie Drobnic Holan	Janet Napolitano		"The 2010 DREAM Act failed despite ""strong bipartisan support."""	['Bipartisanship', 'Immigration']	2
2013-08-28	W. Gardner Selby	Republican	Sue Owen	Steve Stockman	Texas	"Says U.N. arms treaty will mandate a ""new international gun registry."""	['Guns']	1
2013-08-28	Greg Borowski	Democrat	Dave Umhoefer	Mark Harris	Wisconsin	"""I’ve got the spending down, I’ve got the debt down a little bit, I’ve got the reserves up."""	['County Budget', 'County Government', 'Debt', 'State Budget', 'State Finances', 'Taxes']	4
2013-08-28	Jim  Denery, Jim Tharpe	Democrat	Eric Stirgus	Doug Stoner	Georgia	"""I fought hard for that (state Senate) seat. I only lost by four points. I raised over $700,000."""	['Campaign Finance', 'Candidate Biography']	2
2013-08-27	Angie Drobnic Holan	None	Louis Jacobson	Moms Demand Action for Gun Sense In America	Indiana	"The book Little Red Riding Hood is something ""that’s been banned in America,"" but not assault weapons."	['Education', 'Guns']	2
2013-08-27	Angie Drobnic Holan		Julie Kliegman	BookerFail		"""Three years after getting the $100 million (from Mark Zuckerberg), less than two-thirds of students in Cory Booker's Newark graduate."""	['Education']	2
2013-08-27	John Bridges	Republican	W. Gardner Selby	David Dewhurst	Texas	"""I am every year the No.1 pick of all of the law enforcement agencies within Texas."""	['Candidate Biography', 'Crime', 'Criminal Justice']	1
2013-08-27	Angie Drobnic Holan	Republican	Amy Sherman	Rene Garcia	Florida	"Miami-Dade County is the ""No. 1 donor county in the state."""	['State Budget', 'Taxes']	2
2013-08-27	Jim  Denery, Jim Tharpe	Republican	Eric Stirgus	Jack Kingston	Georgia	Says an illegal immigrant fraudulently claimed children who actually lived in Mexico on income tax forms to collect more than $29,000.	['Immigration', 'Taxes']	4
2013-08-26	Angie Drobnic Holan	Independent	Louis Jacobson	Michael Bloomberg	New York	"""New York is the safest big city in the nation, and our crime reductions have been steeper than any other big city’s."""	['Crime', 'Criminal Justice', 'Urban']	4
2013-08-26	Warren Fiske	Republican	Sean Gorman	Ken Cuccinelli	Virginia	"Says Terry McAuliffe is ""the person who invented the scheme to rent out the Lincoln Bedroom."""	['Campaign Finance', 'Ethics', 'History']	1
2013-08-26	Jim Tharpe		Janel Davis, Eric Stirgus	Kasim Reed		"""State law says that once the state appraises a piece of property, they can only pay it a certain amount above appraisal."""	['City Government', 'Corrections and Updates', 'Sports']	5
2013-08-25	Tom Curran	Republican	Bill Wichert	Steve Lonegan	New Jersey	"Says under Mayor Cory Booker, Newark has seen ""violent crime up five years in a row, murder up five years in a row."""	['Crime']	3
2013-08-25	Greg Borowski	Republican	Dave Umhoefer	Alberta Darling	Wisconsin	"Wisconsin’s criminal threshold for drunken-driving is ""way out of line"" with ""states surrounding us,"" which ""have the second offense as a felony."""	['Alcohol', 'Criminal Justice', 'State Budget', 'Transportation']	2
2013-08-25	Tim Murphy	Activist	C. Eugene Emery Jr.	Steve Goreham	Illinois	"""Global surface temperatures have been flat for 16 years."""	['Climate Change', 'Energy', 'Environment', 'Government regulation', 'History', 'Science', 'Weather']	3
2013-08-24	Dee Lane	Republican	Ian K. Kullgren	Doug Whitsett	Oregon	"Says ""your Legislative Assembly was within one vote of enacting each of those bills into Oregon law."""	['Guns']	1
2013-08-23	Angie Drobnic Holan	State official	Amy Sherman	Pam Stewart	Florida	"Florida’s ""high school graduation rates continue to increase at the fastest rate in the nation, with Florida leading the nation in the rate of Hispanic graduates."""	['Diversity', 'Education']	3
2013-08-22	Angie Drobnic Holan	Republican	Katie Sanders	Marco Rubio	Florida	"Says President Barack Obama could ""basically"" legalize all immigrants here illegally ""by the sign of a pen."""	['Immigration']	2
2013-08-22	Amy Hollyfield	Republican	Julie Kliegman	Carly Fiorina	California	"""There are only four countries in the world that ... legalize abortion after five months -- China, North Korea, Canada and the U.S."""	['Abortion']	3
2013-08-22	Greg Borowski	Democrat	Dave Umhoefer	Peter Barca	Wisconsin	"Under a new law regulating abortions, ""Even if you're raped, if you don't report it in the first 30 days, the Republicans will force you to have an ultrasound."""	['Abortion', 'Health Care', 'Women']	3
2013-08-21	John Bridges	Republican	Sue Owen	Barry Smitherman	Texas	"Says he ""sued Obama’s EPA seven times."""	['Energy', 'Environment']	5
2013-08-21	Angie Drobnic Holan		Becky Bowers	Bloggers		"Obamacare provision will allow ""forced home inspections"" by government agents."	['Civil Rights', 'Health Care', 'Privacy', 'Public Health']	0
